country_name,region,happiness_score,log_gdp_per_capita,social_support,life_expectancy,freedom,generosity,perception_of_corruption
Mauritania,Arab States,4.723899841308594,8.590913772583008,0.6438930630683899,60.47499847412109,0.6222173571586609,-0.0127996131777763,0.6573241949081421
Mauritius,Africa,5.902299880981445,9.95720100402832,0.888333261013031,63.85012435913086,0.8129426836967468,-0.0282245129346847,0.7749056816101074
Mexico,South/Latin America,6.329500198364258,9.849601745605469,0.8040080666542053,65.80000305175781,0.8562236428260803,-0.0935604721307754,0.7683507204055786
Moldova,Europe,5.819200038909912,9.498775482177734,0.8566350340843201,65.29906463623047,0.8397157788276672,-0.0800843685865402,0.900856614112854
Mongolia,Asia & Pacific,5.840199947357178,9.372422218322754,0.9328268766403198,60.49993133544922,0.7011629343032837,0.1904609650373459,0.8487215042114258
Montenegro,Europe,5.7221999168396,9.81259059906006,0.8896059989929199,67.0999984741211,0.8049980401992798,0.063483290374279,0.8444382548332214
Morocco,Arab States,4.9028000831604,8.973066329956055,0.5531101226806641,63.90077590942383,0.7872825860977173,-0.2307837307453155,0.8108253479003906
Mozambique,Africa,4.953999996185303,7.116300582885742,0.6918163299560547,51.53021240234375,0.8514707088470459,0.0466913282871246,0.6604602932929993
Myanmar,Asia & Pacific,4.372499942779541,8.403970718383789,0.7867182493209839,61.38812255859375,0.7271373271942139,0.4913972020149231,0.6584481000900269
Namibia,Africa,4.630799770355225,9.120738983154297,0.7869246602058411,56.8513298034668,0.6694822311401367,-0.1255770772695541,0.8303823471069336
Nepal,Asia & Pacific,5.360300064086914,8.256011962890625,0.7478566765785217,61.84700012207031,0.8079494833946228,0.1459351778030395,0.7833759188652039
Netherlands,Europe,7.402999877929687,10.942278861999512,0.9304993152618408,71.55001831054688,0.8868750929832458,0.212686151266098,0.3789292871952057
New Zealand,Asia & Pacific,7.122900009155273,10.661865234375,0.9523983597755432,70.35005187988281,0.8865742683410645,0.1748282313346862,0.2712054550647735
Nicaragua,South/Central America,6.258800029754639,8.617688179016113,0.8528122305870056,65.64956665039062,0.8774302005767822,0.0209305360913276,0.6250089406967163
Niger,Africa,4.501299858093262,7.0909833908081055,0.5900665521621704,56.54999923706055,0.7877514958381653,0.0322939865291118,0.733547568321228
Nigeria,Africa,4.980599880218506,8.49583911895752,0.739812433719635,54.89082717895508,0.7184043526649475,0.0728492066264152,0.9111672043800354
Norway,Europe,7.315499782562256,11.087730407714844,0.9434765577316284,71.5000228881836,0.9466164112091064,0.1406360566616058,0.2827447056770324
Pakistan,Asia & Pacific,4.555399894714356,8.54032039642334,0.6013326644897461,57.3125,0.7656802535057068,0.0078154867514967,0.7866216897964478
Palestine,Arab States,4.907800197601318,8.716377258300781,0.8594945073127747,74.2798,0.6944997906684875,-0.1323699057102203,0.8357949256896973
Panama,South/Latin America,6.264500141143799,10.305059432983398,0.8963010907173157,68.95027160644531,0.8550963401794434,-0.1333904266357422,0.8782973885536194
Paraguay,South/Latin America,5.737800121307373,9.509722709655762,0.9060643315315248,65.89987182617188,0.8908432126045227,0.020743167027831,0.8425903916358948
Peru,South/Latin America,5.525899887084961,9.401518821716309,0.7979649901390076,69.84983825683594,0.7943701148033142,-0.1188521385192871,0.8917118310928345
Philippines,Asia & Pacific,5.522900104522705,8.978732109069824,0.7799321413040161,62.03751754760742,0.9185475707054138,-0.0598896220326423,0.7320905923843384
Poland,Europe,6.259699821472168,10.45294189453125,0.9250565767288208,69.04891967773438,0.7654918432235718,-0.0309511870145797,0.7355665564537048
Portugal,Europe,5.9679999351501465,10.4286527633667,0.877972424030304,71.25039672851562,0.902433216571808,-0.1960751861333847,0.8780763149261475
Romania,Europe,6.589099884033203,10.339055061340332,0.8479619026184082,67.05085754394531,0.8558145761489868,-0.1717483699321746,0.9290894269943236
Russia,Europe,5.660699844360352,10.20974826812744,0.8886616826057434,64.947265625,0.7193708419799805,-0.0303580816835165,0.8014196753501892
Saudi Arabia,Middle east,6.462600231170654,10.71545124053955,0.8838691711425781,64.39929962158203,0.8938149809837341,-0.0806520581245422,0.6913089752197266
Senegal,Africa,4.855100154876709,8.15528678894043,0.6292861104011536,59.998931884765625,0.7716072201728821,0.0107729323208332,0.8458921313285828
Serbia,Europe,6.143599987030029,9.85398006439209,0.8730476498603821,67.08761596679688,0.8450360298156738,0.203995332121849,0.816429853439331
Sierra Leone,Africa,3.13759994506836,7.394014358520508,0.5552510619163513,54.89985275268555,0.6603673100471497,0.1049290895462036,0.8577796816825867
Singapore,Asia & Pacific,6.586699962615967,11.571497917175291,0.8775396943092346,73.80000305175781,0.8776695728302002,0.0627389848232269,0.1461123824119568
Slovakia,Europe,6.468599796295166,10.353433609008787,0.9525606036186218,68.83783721923828,0.7532278895378113,-0.0164425987750291,0.897835910320282
Slovenia,Europe,6.649899959564209,10.58829116821289,0.9505247473716736,71.05184936523438,0.9132804870605468,0.0144006377086043,0.7712460160255432
South Africa,Africa,5.274600028991699,9.477535247802734,0.906631350517273,56.98897171020508,0.7300763726234436,-0.086628682911396,0.9021425843238832
South Korea,Asia & Pacific,5.951099872589111,10.69267463684082,0.8116115927696228,73.65018463134766,0.7168270945549011,-0.0462142340838909,0.7011785507202148
Spain,Europe,6.436200141906738,10.540300369262695,0.9317399263381958,72.3499755859375,0.782114565372467,-0.0659279972314834,0.7105185389518738
Sri Lanka,Asia & Pacific,4.441599845886231,9.491007804870604,0.8259633183479309,67.14990234375,0.7865561246871948,-0.0299883000552654,0.8084906339645386
Sweden,Europe,7.395199775695801,10.88282299041748,0.9392486810684204,72.15015411376953,0.9479710459709167,0.1647885739803314,0.2024483829736709
Switzerland,Europe,7.240099906921387,11.164027214050291,0.9204392433166504,72.89995574951172,0.8910744190216064,0.026686418801546,0.266347587108612
Taiwan,Asia & Pacific,6.535399913787842,10.797459602355955,0.88442462682724,69.5999984741211,0.8039209842681885,-0.1289578080177307,0.6809817552566528
Tajikistan,Asia & Pacific,5.329800128936768,8.236533164978027,0.8355719447135925,62.225528717041016,0.8320024609565735,-0.059758573770523,0.5215774178504944
